name,recorded_date,reviewer_name,review_date,reviewer_text
Okaya Freedum,2023-11-10,Vikas Gupta,4 Month ago,"1.0It’s a worst scooty. No service center available, no parts available, no mechanic availabe for Okaya Freedum. Zero quality control from company. If anyone wants to purchase this scooter, I would suggest change brand."
Okaya ClassIQ,2023-11-10,Abhinav kumar,2 Month ago,"5.0 The scooter boasts a sleek and modern aesthetic that is sure to turn heads wherever you go.The frame is sturdy and well-built, Providing a sense of confidence"
Okaya ClassIQ,2023-11-10,Raman Gulati,6 Month ago,2.2Not a good scooter shockers poor headlight poor disc brake very poor horn quality. Overall performance 4 out of 10.
Okaya ClassIQ,2023-11-10,Aayush Sharma,8 Month ago,3.5The scooter look good but low mileage
Okaya  Faast F2F,2023-11-10,Beera Singh,8 Month ago,3.5Good features with good comfort
Okaya Electric Motofaast,2023-11-10,Bapuiyli,06 Nov 2023,4.4It boasts a sleek and futuristic design that combines aesthetics with functionality. The frame is made from lightweight yet durable materials.
Okaya Electric Motofaast,2023-11-10,bharathkumar,06 Nov 2023,"4.4It is equipped with a powerful electric motor, which makes it to deliver exceptional performance on both urban streets and open highways."
Okaya Faast 4,2023-11-10,unic earning tips,2 Month ago,3.8 Modal is not good but battery power is good ..and not given navigation and display 
Okaya Faast 4,2023-11-10,pubg gamaraz new,2 Month ago,1.0very nice design
Okaya Faast 4,2023-11-10,NITIN SHARMA,3 Month ago,"1.0This is very bad EV scooter. Total waste of money. I am using it since last one year. Both batteries are damaged. Parking sensors are not working. Currently motor sensor facing issue. Not 
 at all happy with dealer service."
Okaya Faast F2T,2023-11-10,Siddhesh Kakriya,2 Month ago,1.0ok design and comfortable seat
Okaya Faast F2T,2023-11-10,Shweti,8 Month ago,"3.7Colour beautiful, easy to handle but speed is limited"
Okaya Faast F2B,2023-11-10,Arun,6 Month ago,"2.2Hi, If you are planning to buy Okaya Faast F2B then you are really wasting your money and time. I had purchased this ebike on February 2023. The company quoted that the bike would give the mileage around 80 kms per charge but it gives 20kms which is useless. Within this 3 months I have complained to the service center number of times and they agreed it is fault of battery which they would replace. Until now the battery hasn't been replaced even after multiple visits. I have got stuck so many times on the way and beg the near by shops to provide me the socket for charging. It is so embarrassing for me to do that. I have thrown this vehicle to the outlet from were i purchased it expecting that they will not fix the problem. I suggest you to please think twice before you purchase this vehicle. The service is not good. "
Okaya Faast F2B,2023-11-10,Advay prabhakar bharti,6 Month ago,"4.6Good specifications and faast F2B hai 65 km range and company claim 85km.
0 to 100 per. Charge in 3to 3:30hr
Overall value for money Ev.
4.5Star "
Okaya Faast F2B,2023-11-10,Lakhan,8 Month ago,4.0Comfortable seating  & good performance & smooth riding
Velev Motors VIO,2023-11-10,Ranjan,7 Month ago,4.0unpleasant and performance not good
Greta Electric Harper,2023-11-10,Dhiraj Ashiyani,6 Month ago,"1.0Not so good, poor condition. Please improve your work."
Greta Electric Harper,2023-11-10,Krish,8 Month ago,"4.0Good to handle, braking system not good, low mileage"
Greta Electric Glide,2023-11-10,Krish,8 Month ago,"4.0Colour beautiful but look not good, need more features"
Greta Electric eVespa,2023-11-10,SELVARAJ,8 Month ago,"4.0Affordable ev scooter.  I like it . Good performance,  comfortable to drive."
Greta Electric Harper ZX,2023-11-10,Shane Ali,9 Month ago,5.0I want this scooty in moradabad.please contact me on WhatsApp 
Greta Electric Harper ZX,2023-11-10,Kshitiz,10 Month ago,5.0Very good scooty i am Buy this scooty i am impressed 
Greta Electric Harper ZX,2023-11-10,Alok Pandey,1 Year ago,"4.4Best electric scooter I have ever taken a test drive in my life, a very comfortable seat with large luggage space."
DAO Electric ZOR 405,2023-11-10,Kadir,8 Month ago,"3.7Look upleasant, more space between seat & handle. It for short height people. "
DAO Electric Model 703,2023-11-10,Ganesh Kumar,6 Month ago,"5.0Recently test driven DAO 703. It feels good riding comfort, aesthetic design, multiple colours, good range with thermosafe lfp."
DAO Electric Model 703,2023-11-10,Rajdeepsinh Zala,8 Month ago,"3.7I like comfort of the scooter, good brakes. Performance also good"
DAO Electric Vidyut 108,2023-11-10,Anonymous,1 Month ago,1.4design is too good just feels fresh
DAO Electric Vidyut 108,2023-11-10,Venkatesh,10 Month ago,"1.4Cons Max range getting 38km per full charge.
Full charge takes 4hrs to complete Poor quality.

Pros
Performance/pickup is good in sport mode.

Multiple times visited Dao care to resolve my bike range issue, but no use  ????."
EeVe Soul,2023-11-10,Anayt Warsi,1 Year ago,"4.4The design is quite modern, without seeming outlandish and gets stylish touches like the unique LED headlight."
EeVe Xeniaa,2023-11-10,Aaryan Kaushik,8 Month ago,"3.5The scooter look good , comfortable seat, fast charging"
EeVe Xeniaa,2023-11-10,J l Shah,1 Year ago,"4.6Eeve xeniaa is best electric scooter. But the serviceman is not good. If any problem service center not received your phone. I purchased 3/06/22, my scooter, and the battery is fully down, co. The service center told me a 2-month wait, now my scooty is in garage."
EeVe Ahava,2023-11-10,Aryaman,8 Month ago,"3.5The battery capacity good,  good performance"
EeVe Ahava,2023-11-10,DHARMA RAO,10 Month ago,1.0Battery low problem..not solution in sorvis centre 
EeVe Ahava,2023-11-10,KRISH PUNIA,10 Month ago,"3.8GOOD D DESIGN GOOD RANGE GOOD, OVERALL SCOOTY IS GOOD BUT THE SERVICE IS NOT GOOD BUT THE SCOOTY IS VERY NICE AND HAS DECENT FEATURES"
EeVe Atreo,2023-11-10,Vishnu sain,8 Month ago,"3.7Easy handle scooter, good performance in city road. I like it."
Evolet Pony,2023-11-10,Krishan Verma,1 Month ago,3.8 Scooter has good performance and good style. I want to buy pony. It's design and style is super. 
Evolet Pony,2023-11-10,SURENDRA CHHATRE,1 Year ago,3.8The specifications shown are quite good only after sales services is a concern as of now. That can be reviewed after a period of time.
Evolet Dhanno,2023-11-10,Dheeraj,8 Month ago,"3.5The mileag is good, comfortable seat"
Evolet Polo,2023-11-10,Utam kumar,8 Month ago,"3.7Look of scooter unpleasant, comfortable, easy to drive"
Evolet Derby,2023-11-10,Sana fathima,8 Month ago,"3.7 Comfortable, easy to handle scooter but taking to much time for charging"
Hop Electric Leo,2023-11-10,Ramraghunath,5 Month ago,"5.0It was an amazing experience. Running and maintenance cost is very low, looks wise this vehicle is very beautiful."
Hop Electric Leo,2023-11-10,Nazim,6 Month ago,5.0Best electric scooter company you will ever see in the Indian market. Product quality is excellent.
Hop Electric Leo,2023-11-10,Jay Panwar,1 Year ago,4.0I'm using the Hop Leo model and fully satisfied with the hop team and the features are good.
Hop Electric Leo Extended,2023-11-10,Ayush,1 Year ago,"5.0Best in range and commute
purchased from M.B.Evocity, raja park, jaipur"
Hop Electric LYF,2023-11-10,Dinesh kumar yadav,5 Month ago,"5.0Hop Electric OXO is not only a bike but also a smart, sports and best looking electric bike. This bike is at the top in electric scooter market."
Hop Electric LYF,2023-11-10,Raju,5 Month ago,3.4Looks and performance is good but mileage is not so good.
Hop Electric LYF,2023-11-10,Yogesh,5 Month ago,5.0Really hop electric scooter is very nice. It is good and look are also amazing.
iVOOMi JeetX,2023-11-10,Elvin Das,7 Month ago,"5.0All over experience with the scooty is good and it is trusted brand I love the speed and the look of the scooty I recommend you all to atleast test drive then you will know better And like chetak and TVS it is more cheap in rate with same features and quality
So go for it."
iVOOMi JeetX,2023-11-10,Saudagar balasaheb dhere,10 Month ago,"1.0Suspension is like kids bike ,after 40 days from purchasing battery holder box welding removed,  normal pathwhole if comes infront bike then I don't want to drive bike on that pathwhole,  seat is not in position,  battery get bounce "
iVOOMi S1,2023-11-10,Sunil sable,2 Month ago,1.0Very bad experience. Performance is not good. Stops automatically while riding.
iVOOMi S1,2023-11-10,Rohin,3 Month ago,3.4 Excellent performance on both city roads and highways. Suspension system provides a comfortable ride even on bumpy roads.
iVOOMi S1,2023-11-10,Pawan vishwakarma,3 Month ago,"3.4 lightweight design allows for easy maneuverability, making it suitable for both experienced riders and beginners. Seat is well-padded and offers ample space for both the rider and pillion. "
iVOOMi City-1,2023-11-10,Arjan khistariya,7 Month ago,"3.7It is a very good bike, Mileage is good and very comfortable to ride."
iVOOMi City,2023-11-10,Karan Manghnani,10 Month ago,"1.0I bought ivoomi jeet 7 months ago and literally it is a trash scooter.I bring scooter 7 times in 7 months for repair sometimes it's accelater problem, sometimes it's ecu problem It is totally waste of money"
iVOOMi Jeet,2023-11-10,Gaurav singh,8 Month ago,"3.8Jeet is a very good EV scooter I feel comfortable, eay to handle but look not attractive"
GRP EV 11 Mini,2023-11-10,Akshay Yadav,1 Year ago,"4.4Nice Scooter, Good Performance, Lovely Design, Comfortable to use, Good Range, and Fast Charging."
GRP EV 11 Mini,2023-11-10,Shakti Mishra,1 Year ago,"4.4Premium electric scooter very comfortable, Charging time is around 4 hours. But been convenient so far."
GRP EV 11 Mini,2023-11-10,Tarun Malhotra,1 Year ago,4.0Very good post sale service and it is electric vehicles at low and efficient cost which can be availed by most of the public.
GRP EV 11 Pro,2023-11-10,Aakib GOUR,2 Month ago,5.0 Good scooter feature good 
GRP EV 11 Pro,2023-11-10,Akshay Jain,1 Year ago,4.2This looks great and the maintenance cost is very low since it is an EV vehicle. It is the best option to buy.
GRP EV 11 Pro,2023-11-10,Harshveer,1 Year ago,4.6Best retro look scooter. I gifted this to my daughter and she loved it. Its very comfortable and stylish. Good attractive colors.
GRP EV 11 Max,2023-11-10,Alex Cusak,1 Year ago,4.0This EV comes with a sport looks and good with the required features.
GRP EV 11 Max,2023-11-10,Qatarsingh,1 Year ago,4.8Beautiful and comfortable e scooter. Goes 90km per charge. Available in beautiful colors.
GRP EV 11 Max,2023-11-10,Nutan Singh,1 Year ago,4.2Great experience..no dependency on petrol. E scooter are the future and this one is the best.
Crayon Zeez,2023-11-10,Avinash,8 Month ago,"3.7Comfortable when drive, easily to drive but limited speed"
Crayon Envy,2023-11-10,iRamalingam,8 Month ago,"3.7Ride quality , performance good. Comfortable to drive but need features. Overall good"
TVS iQube Electric,2023-11-10,Devaraja N,10 Nov 2023,"4.4It features a spacious seat that offers ample room for both the rider and pillion. The suspension setup consists of telescopic forks at the front and twin shock absorbers at the rear, providing a comfortable ride over various road conditions."
TVS iQube Electric,2023-11-10,Minaketan Paul,10 Nov 2023,"4.4It boasts a sleek and modern design that is both stylish and practical. It features a compact body with sharp lines.It comes with LED headlamps, LED taillights, and LED turn indicators, enhancing visibility and safety on the road."
TVS iQube Electric,2023-11-10,Adesh Yadav,08 Nov 2023,"4.4It has an entirely digital instrument cluster that shows data like range, speed, and battery level."
TVS X EV,2023-11-10,Kandarpa sahu,19 Oct 2023,"4.4Telescopic forks and rear monoshock worked well, damping out small bumps and potholes. Ride over big bumps or potholes and the scooter seems to forget about its damping duties quite a bit. Tingling vibrations can be felt on the footboard at the 60kmph mark which then creeps up to the handlebar and seat as speeds increase."
TVS X EV,2023-11-10,Munawwarkhan,19 Oct 2023,"4.4Suspension setup on the Destini is stiff and seems happy on smoother roads and minor undulations. Seat too, is plush and accommodating enough for larger riders. Furthermore, the scooter also offers ample leg space that makes for a comfortable ride. "
TVS X EV,2023-11-10,Suresh,19 Oct 2023,"4.4Fit and finish are excellent, and the build quality is commendable. Telescopic forks and rear monoshock worked well, damping out small bumps and potholes. Stylish enough to retain the dominating road presence."
PURE EV Epluto,2023-11-10,Anonymous,19 Oct 2023,"1.0Review not of this dealer but still relevant. I have plenty of issues with my pure ev epluto7g but the primary one is the battery. If you are thinking of saving some money by buying a electric vehicle, don't buy a pure EV. My vehicle has been giving me range issues after less than a year of buying. I Even kept the vehicle with them for 30-45 days Even after which there is issue with range. Now My vehicle is just giving range of 45-55 km after which it has 1-2 bars. This after riding 90% of time in mode 1 which has top speed of around 34-35. When complained to the dealer they took 3 days to check if they need to send it to the company and said it will take again 1.5 months for pure ev to repair the battery. What I am supposed to do during that time. Take non existent public transport ? Why did I buy a scooter then? I have written about this to the company executives  100s of time but no response. The dealer even claims that even after repair I should only expect range of 75 in mode o"
PURE EV Epluto,2023-11-10,Sai,10 Month ago,"1.8Nothing to say, thought its great bike to buy but the build quality is very bad. When I say very bad it means very very bad.. "
PURE EV Epluto,2023-11-10,Shashank Shekhar,1 Year ago,"1.01 year plus experience in one year I face many issues battery quality is not good light is not proper work switches qualities very poor build quality is poor spare parts prices very high 1 year I change many spare parts of paid services
PURE EV Waste of money"
PURE EV ETrance NEO,2023-11-10,M Vijay,2 Year ago,5.0Very much satisfied. Best in the price range available in the market
PURE EV ETrance NEO,2023-11-10,Basit shah,2 Year ago,5.0Pure ev is awesome 
PURE EV ETrance NEO,2023-11-10,Dr Rahul Kapse,2 Year ago,"4.2I just brought This scooty, 3 days ago on 22/02/2022...its awesome.. Comfortable.. Riding is good for both... 3 hrs charge time.. 100-120km per charge... Price-97500/- on road in ambajogai... Pick up is like petrol bike.. "
PURE EV Epluto 7G,2023-11-10,Anonymous,19 Oct 2023,"1.0Review not of this dealer but still relevant. I have plenty of issues with my pure ev epluto7g but the primary one is the battery. If you are thinking of saving some money by buying a electric vehicle, don't buy a pure EV. My vehicle has been giving me range issues after less than a year of buying. I Even kept the vehicle with them for 30-45 days Even after which there is issue with range. Now My vehicle is just giving range of 45-55 km after which it has 1-2 bars. This after riding 90% of time in mode 1 which has top speed of around 34-35. When complained to the dealer they took 3 days to check if they need to send it to the company and said it will take again 1.5 months for pure ev to repair the battery. What I am supposed to do during that time. Take non existent public transport ? Why did I buy a scooter then? I have written about this to the company executives  100s of time but no response. The dealer even claims that even after repair I should only expect range of 75 in mode o"
PURE EV Epluto 7G,2023-11-10,Anonymous,1 Month ago,5.0  just drive in city at the next month buying it is super features
PURE EV Epluto 7G,2023-11-10,Viren Patel,5 Month ago,3.4Epluto 7G overall good scooter but service is not good and now the showroom is closed. Now scooter service problem and battery problem. 
SES Eagle,2023-11-10,Sekhar,7 Month ago,3.7Nice electric scooter. Easy maintenance Low cost . Range also very good Speed also good . Overall I am happy
SES Fly,2023-11-10,Ram kumar kaswan,7 Month ago,3.7This electric scooter is very good and very light weight also. My kids can also ride this scooter
SES Tuff,2023-11-10,Umesh shet,7 Month ago,3.7It looks very nice and is very smooth is riding also. It is very good looking bike. Loved it
SES Zoom,2023-11-10,Amk,7 Month ago,3.7Easy To Handle In City But Price Is Quite High.
SES Bold,2023-11-10,Rajkumar,7 Month ago,3.7Electric scooters are a little more expensive than conventional scooters& and their performance isn't as good.
SES Hobby,2023-11-10,hardll,19 Oct 2023,"4.4It has overheat protection, short-circuit protection, and low battery voltage protection. These safety measures not only protect the devices but also provide peace of mind for users, allowing them to enjoy their hobbies without worrying about potential accidents or damage."
SES Hobby,2023-11-10,Bkmishra,19 Oct 2023,4.4Spacious footboard that provides ample space for riders to comfortably place their feet. It is built with a comfortable seating position that allows riders to maintain an upright posture.
SES Hobby,2023-11-10,Ashok,18 Oct 2023,"3.8Comfortable riding experience and reliable performance. It is equipped with a well-padded saddle and ergonomic handlebars, ensuring a comfortable riding position even during long journeys. Handlebars are ergonomic, making it easy to find a comfortable grip, and the responsive brakes add an extra layer of safety. "
Energy Automobile EvOne,2023-11-10,MOHAMMAD HANEEF,19 Oct 2023,"4.4It is a lightweight design. Frame is made from high-quality aluminum alloy, which not only reduces the overall weight of the bike but also enhances its durability."
Energy Automobile EvOne,2023-11-10,sb,19 Oct 2023,"4.4It has front and rear LED lights for improved visibility, especially during nighttime rides also this bike comes with hydraulic disc brakes, which provide reliable stopping power even in wet or slippery conditions."
Energy Automobile EvOne,2023-11-10,Shanti mehta,18 Oct 2023,"3.5 Seat is firm, but comfortable, making it easy to move around on the bike. It is a good choice for beginners. It is a well-rounded dirt bike that is good for casual riding. Upright seating position is comfy, and the contoured seat was plush but supportive.  "
Quantum Elektron,2023-11-10,Anonymous,1 Month ago,2.2High priced when compared to the features. Battery capacity is only 1.822 Kwh means less power.
Quantum Elektron,2023-11-10,Animesh Gupta,7 Month ago,3.7have very attractive look and colors in this scooty
Quantum Milan,2023-11-10,Alok,7 Month ago,3.7Very smooth to drive the scooty grils can easy to drive 
Tunwal Sport 63 Mini,2023-11-10,Anonymous,1 Month ago,1.0 mileage drops fastly but performance is enough
Tunwal Sport 63 Mini,2023-11-10,Ashok Salve,2 Year ago,"5.0Excellent  bike for city use
 Good milegae.maintenance free, take max load without comromising speed. One of the bestt e-bike I ever seen."
Tunwal Sport 63 Mini,2023-11-10,Pardeep,2 Year ago,4.6
Tunwal Roma S,2023-11-10,Dashrath dhakar,7 Month ago,3.8Easy to ride in city and great scooter
Tunwal T 133,2023-11-10,Sundeep,7 Month ago,3.8This scooter has  absolutely great comfort at this price point and also it has very less noise in its engine .
Tunwal Sport 63 Mid,2023-11-10,Sbbhhd hhzhsb,7 Month ago,3.8I wanted to take is scooter for my mother bcuz its an comfortable and nice scooter the seafty of this scooter is very nice
Tunwal Mini Lithino,2023-11-10,Ptakash Tanaji Patole,7 Month ago,3.7Love this Scooter as I don't need licence and petrol to drive& and range is also good.
Tunwal Strom ZX,2023-11-10,Anonymous,9 Month ago,2.6I don't like this scuter very bad experience I like to own a ola
Tunwal Strom ZX,2023-11-10,ANKIT kumar,1 Year ago,1.4It's a useless scooter shok up bilkul bekar hain bohut hi kajor hai poori gadi 3 se 4 mahine main poori bajne lagti hai totally waste scooter hai
Tunwal Storm ZX Advance 1,2023-11-10,RAJKUMARSADH,7 Month ago,3.8Its eco-friendly and easy to handle and drive. good but not excellent.
Tunwal Storm ZX Advance 2,2023-11-10,Dipankar das,1 Month ago,"4.2This is perfect for middle class family. This is a very good brand. Personally my review is 4.2 and one of the best thing. All over India, I appreciate this product. 
This is a best option."
Tunwal Storm ZX Advance 2,2023-11-10,Shirisha A,7 Month ago,3.8the overall performance is great and the build quality is good.
Tunwal Lithino Li,2023-11-10,Parashuram,3 Month ago,"5.0Vere good rood grip, good comfort and very good out look.
"
Tunwal Lithino Li,2023-11-10,Dileep Kumar,7 Month ago,3.7Best Scooter At This Price Range With Good Mileage
Warivo Motors Nexa,2023-11-10,Anonymous,03 Nov 2023,5.0Very nice scooter 
Warivo Motors Nexa,2023-11-10,Sunil Kumar,1 Year ago,4.6the unique thing about this is as this comes with BLDC motor and a tubless tyre.
Warivo Motors Queen SX,2023-11-10,Tanmay,7 Month ago,4.0The scooter is comfortable & easy to ride  but limited speed
Warivo Motors Smarty,2023-11-10,Sahil sidana,7 Month ago,4.0New company and new scooter but nice scooter
BattRE Electric LoEV,2023-11-10,Ruchir,2 Month ago,1.0features it provide is one thing excited to use
BattRE Electric LoEV,2023-11-10,Balaji,3 Month ago,1.0My advise kindly don't buy this company battre loev byke. Very very poor customer support. My battery has problem. I gave complaint to service department. I am waiting for more than 30 days. But response is very poor and very irresponsible.
BattRE Electric LoEV,2023-11-10,Shanmuga,6 Month ago,"1.0Worst product and service - unreliable. I have BattRE LOEV model 1.5 years before, I bought it in Chennai. From the first the chennai chromepet(Megna e bikes) dealer was not responding well for any issues. The battery % that showing in the vehicle is not correct , But the customer service person said not check the level in scoter display but to check in the battery. Every time need to open the seat and check 
For the past 3 months, I having problem with the vehicle. Still problem is not resolved complaint no OK202302260045 OKAYA raised on 25/02/2023.
We are not able to use the bike as it is stopping even when the charge is 85% full. 3 times the battery was serviced but no use, they totally wasted our time. Now they are telling they will replace the battery  for the past 1 month. Now my battery is with the chennai dealer in porur as they have cancelled the old delaer. I could not use my vehicle for past 3 months , Its stops on the way need to come back walking. But not sure that batt"
BattRE Electric IOT,2023-11-10,Balavant R,1 Year ago,4.2It best features is a circular LED headlamp with LED DRLs mounted flush into the front apron.
BattRE Electric IOT,2023-11-10,Sagar Pareek,1 Year ago,"3.4In this price range, the best IoT scooter. On the app, it provides all important information. Only the real-time battery status indication needs to be improved. The scooter's other features and performance are excellent."
BattRE Electric One,2023-11-10,B V SATYANARAYANA,8 Month ago,3.7Scooter not usable for rough road but easily handle & drive
BattRE Electric GPSIE,2023-11-10,Bhart Prmar,1 Year ago,"3.8The unique features are GPS tracking, remote immobilisation, driver behaviour reports, trip reports."
BattRE Electric GPSIE,2023-11-10,Mahesh Bhandari,1 Year ago,3.4The BattRE Electric GPSIE takes 2.5 hours to charge from 0 to 100% and has a range of 65 kilometres per charge.
Stella Automobili Scooters SA 1000,2023-11-10,Sathishkumar,7 Month ago,5.0Nice Bike But if You can decrease bike Cost More Customers Purchase This Bike Above 80K Coust Medel Class people it's Very Heigh.
Stella Automobili Scooters SA 1000,2023-11-10,uday,7 Month ago,3.7Best Scooter At This Price Range With Good Mileage
Stella Automobili Scooters SA 2000,2023-11-10,Deepak Kansal,7 Month ago,3.7Good scooter for drive in city condition and speed is pretty good.
Stella Automobili Buzz,2023-11-10,,7 Month ago,3.7Good bike for Daily commuters& stylish look and having low maintenance.
Fidato Evtech Easy Go,2023-11-10,Surendra,8 Month ago,"3.8Looking scooter good, comfortable but battery issue problem"
Fidato Evtech EasyGo Plus,2023-11-10,Kehkashan,5 Month ago,3.0Worst product battery issues and in Jammu they even shut down their showroom . No idea where to go for service and all
Fidato Evtech EasyGo Plus,2023-11-10,Prashant mishra,1 Year ago,1.0Aapki gadi bilkul bekar quality Ki Hai quality bilkul theek Nahin Hai Har Jagah se Awaaz Aati rahti hai warranty Naam per kuch bhi nhi diya jata hai Main To sabhi ko suggest Karunga ki is company ki gadi bilkul mat khariden.
Fidato Evtech Future,2023-11-10,Vivey,7 Month ago,2.6Wrost Ev bed experience. Within 1 month front socks absorver leaked and not covered in warranty/guarantee. Milage is very poor. 
Fidato Evtech Future,2023-11-10,Abdul Aziz,8 Month ago,3.8Good EV Scooter. Comfortable to drive. It is the best option to buy
Fidato Evtech Loder,2023-11-10,Ronak patel,8 Month ago,"4.0It is single scooter, no storage option, look unpleasant. "
Fidato Evtech Cutie,2023-11-10,Surendra,8 Month ago,"3.8Good looking scooter, performance is good"
Rugged G1,2023-11-10,Balasaheb thote,7 Month ago,3.7The scooter with the highest quality and appearance. It is cost-effective and simple to use. It has good suspension.
Segway E110A,2023-11-10,Rajkumar,7 Month ago,3.7Scooter's body quality is poor& and it begins to make noise after a few months of use.
Okinawa PraisePro,2023-11-10,rajesh gehlod,16 Oct 2023,2.2Scooter is good with a nice design 
Okinawa PraisePro,2023-11-10,G G,1 Month ago,5.0 Advanced features.Can use in a city area as well as in village area. 
Okinawa PraisePro,2023-11-10,Anonymous,1 Month ago,3.0I am not happy with the scooter. Recently i spent 20000 for service. i am very disappointed .
Okinawa OKHI 90,2023-11-10,Anil,2 Month ago,"5.0 Excellent performance top speed and range itself.
Overall very good mileage giving scooter 
"
Okinawa OKHI 90,2023-11-10,Ravi,4 Month ago,"1.0I purchased OKHI90 in December 2022, the vehicle breaks down immediately from 65v to below 50v and battery fluctuates. Even the company is clueless why is this happening and the vehicle has brokendown and gone for inspection several times but no light in this. Suspension is the worst and it feels like you're on a cycle. Cannot keep a helmet inside the vehicle and the leg space is really less. Takes 5 to 6 hrs to charge completely and till now we have not seen the range more than 115km in eco mode. There is a flaw in design, please don't go for okhi90. I guess other models are good."
Okinawa OKHI 90,2023-11-10,Satish Kumar,11 Month ago,"2.2Don't buy this doesn't gives good range eco mode it will give 90 Km in sports it gives 70, side mirrors are pathetic"
Okinawa R30 electric scooter,2023-11-10,Deepak,2 Year ago,1.0Like li
Okinawa R30 electric scooter,2023-11-10,Mohan Newar,2 Year ago,"5.0Dear All,

Still i have not purchased this EV scooter........"
Okinawa Ridge,2023-11-10,Bindumadhavan jayaraman,10 Month ago,5.0In eco mode 100 plus and in sport mode 60 plus after 1and half years whe.n new. It was 120plus and 80plus. Smoth riding elegant looking owners pride.
Okinawa Lite,2023-11-10,Anonymous,16 Oct 2023,1.0not saying best but good with comfort
Okinawa Lite,2023-11-10,manbhanjan dash,2 Month ago,"4.6 Excellent comfort but mileage should be better
Led headlight is best in all ev market  I think best scooter 2023"
Okinawa Lite,2023-11-10,Cb mishra,1 Year ago,"5.0Its fantastic, mileage-wise and comfort on ride-wise."
Okinawa Dual,2023-11-10,INDER SINGH,1 Year ago,5.0Okinawa dual purchase karna hai. please provide in Pune City
Okinawa Dual,2023-11-10,Jite Ndra,1 Year ago,"3.8This is easy to ride.We can carry up to 150kgs,it's range is approximate 90Km/Charge, performance is good and easy to handle."
Okinawa Dual,2023-11-10,Amandeep Singh,1 Year ago,3.8This new launched Dual is worth the price and gives a great mileage. The only thing I'm facing issues with is its charging feature.
Okinawa iPraise,2023-11-10,V c kashyap,11 Month ago,"2.2Worst quality body Mileage shows more than actual mileage Speed shows more than the actual speed
After discharging battery for 3 bars it's max spped reaches 25 kmph. "
Okinawa iPraise,2023-11-10,Joga Ratuja,1 Year ago,4.0An amazing addition to the auto family.This ecstatic electric vehicle is comfortable.Handy.Full power.
Okinawa iPraise+,2023-11-10,Venkatesh,1 Month ago,3.4 My scooter okinawa high price plus very good and attractive design and futures average done
Okinawa iPraise+,2023-11-10,Bhadresh K S,7 Month ago,5.0Good vehicle but not comfortable suspension are very bad 
Okinawa iPraise+,2023-11-10,chijman choudhary,7 Month ago,4.0I find it little expensive according to the features.
Herald E Bike Rider,2023-11-10,Nitesh kumar singh,19 Oct 2023,"4.4It offers a comfortable riding experience with its ergonomic design and adjustable seat height. This bike also comes with a storage compartment, allowing riders to carry their belongings conveniently."
Herald E Bike Rider,2023-11-10,Dhiraj Arora,19 Oct 2023,"4.4This motor can be controlled using a handlebar-mounted control panel, allowing the rider to adjust the level of assistance according to their preference. This bike also comes with a rechargeable battery pack that provides power to the motor."
Herald E Bike Rider,2023-11-10,Sunil,18 Oct 2023,3.8It has a high-tensile steel perimeter frame with a subframe member. Graphics are an excellent investment. Boasting both functionality and looks in design.
Herald E Bike Royal,2023-11-10,Shiv Sankar,19 Oct 2023,"4.4This bike is equipped with a digital display features that shows important information such as speed, distance traveled, battery level, and riding mode. This allows riders to keep track of their ride . "
Herald E Bike Royal,2023-11-10,santoshdengle@yahoo.com,19 Oct 2023,"4.4In this bike suspension fork that absorbs shocks and vibrations from uneven surfaces. This helps to smooth out the ride and reduce fatigue on longer journeys. Additionally, the bike is equipped with disc brakes for reliable stopping power in all weather conditions."
Herald E Bike Royal,2023-11-10,Zakeer Hussain Shaik Tapa,18 Oct 2023,"3.8It is known for its smooth power delivery and excellent throttle response, allowing riders to quickly accelerate out of corners and tackle jumps effortlessly. Powerful motor that delivers impressive acceleration and top speed. It has a high initial pickup. Its lighter weight, which allows good range with performance."
Herald E Bike Lengend DLX,2023-11-10,Jyoti Bisht,19 Oct 2023,"4.4It offers features like  sleek and modern design, with a sturdy frame made of high-quality materials such as aluminum alloy."
Herald E Bike Lengend DLX,2023-11-10,Ayush Kashyap,19 Oct 2023,"4.4 Electric motor is powered by a 48-volt lithium-ion battery, which is located in the downtube of the bike frame.  Battery has a capacity of 14 amp-hours, providing a range of up to 50 miles (80 kilometers) on a single charge."
Herald E Bike Lengend DLX,2023-11-10,Alpesh,18 Oct 2023,"4.0Comfortable, problem-free and economical. Suspension system also helps in providing a smooth ride over various road conditions. Suspension forks that absorb shocks and vibrations from uneven road surfaces. This feature helps to smoothen out the ride, providing a more comfortable experience for the rider."
Herald E Bike Lengend Super,2023-11-10,Harendra,19 Oct 2023,"4.4Its provides assistance to the rider while pedaling. Motor is powered by a rechargeable battery pack, allowing for eco-friendly and cost-effective transportation. With the electric motor, riders can easily tackle hilly terrains or long distances without exerting excessive effort."
Herald E Bike Lengend Super,2023-11-10,Niuto Murru,19 Oct 2023,"4.4Comfortable riding position. It is full of comfort and gives impressive ride which ultimately make it worth buying. Well-positioned handlebars, and spacious footboards to ensure a relaxed riding experience. "
Herald E Bike Lengend Super,2023-11-10,Muskan,18 Oct 2023,4.0Feel comfortably at home attacking some twisties at the weekends. Spacious footboard that provides ample space for riders to comfortably place their feet. It is built with a comfortable seating position that allows riders to maintain an upright posture. This helps to reduce strain ensuring a more relaxed and comfortable riding experience.
